Team,Finals Appearances,Finals Wins,Finals Losses,GDP,Population,Champion Status
,,,,,,
Tuscaloosa/2020/CF,8,6,2,9982761.25,210736,TRUE
,,,,,,
Tuscaloosa/2017/CF,8,6,2,9495727,207849,TRUE
,,,,,,
Tuscaloosa/2015/CF,8,6,2,8970652,204953,TRUE
,,,,,,
Tuscaloosa/2012/CF,8,6,2,9256781,198884,TRUE
,,,,,,
Tuscaloosa/2011/CF,8,6,2,9673797,196788,TRUE
,,,,,,
Tuscaloosa/2009/CF,8,6,2,8492527,184953,TRUE
,,,,,,
Tuscaloosa/2018/CF,8,6,2,9774300,208607,FALSE
,,,,,,
Tuscaloosa/2016/CF,8,6,2,9116249,206737,FALSE
,,,,,,
Los Angeles/2020/MLB,19,14,5,714493703.5,9968969,TRUE
,,,,,,
Los Angeles/2020/NBA,19,14,5,714493703.5,9968969,TRUE
,,,,,,
Los Angeles/2010/NBA,19,14,5,574263725,9917885,TRUE
,,,,,,
Los Angeles/2009/NBA,19,14,5,562487797,9881323,TRUE
,,,,,,
Los Angeles/2002/NBA,19,14,5,490762578,9734137,TRUE
,,,,,,
Los Angeles/2001/NBA,19,14,5,477951350,9642296,TRUE
,,,,,,
Los Angeles/2000/NBA,19,14,5,490400947.6,9542100,TRUE
,,,,,,
Los Angeles/2019/NFL,19,14,5,726943301,10011602,FALSE
,,,,,,
Los Angeles/2018/MLB,19,14,5,708846321,10061533,FALSE
,,,,,,
Los Angeles/2017/MLB,19,14,5,697593991,10092365,FALSE
,,,,,,
Los Angeles/2014/NHL,19,14,5,628691886,10033449,TRUE
,,,,,,
Los Angeles/2012/NHL,19,14,5,592432839,9931394,TRUE
,,,,,,
Los Angeles/2014/MLS,19,14,5,628691886,10033449,TRUE
,,,,,,
Los Angeles/2012/MLS,19,14,5,592432839,9931394,TRUE
,,,,,,
Los Angeles/2011/MLS,19,14,5,586247485,9873700,TRUE
,,,,,,
Los Angeles/2005/MLS,19,14,5,548417062,9846755,TRUE
,,,,,,
Los Angeles/2002/MLS,19,14,5,490762578,9734137,TRUE
,,,,,,
Los Angeles/2009/MLS,19,14,5,562487797,9881323,FALSE
,,,,,,
Los Angeles/2001/MLS,19,14,5,477951350,9642296,FALSE
,,,,,,
Los Angeles/2008/NBA,19,14,5,589103804,9820942,FALSE
,,,,,,
Los Angeles/2004/NBA,19,14,5,531883740,9843680,FALSE
,,,,,,
San Francisco/2020/NFL,11,6,5,174177143.1,870561,FALSE
,,,,,,
San Francisco/2013/NFL,11,6,5,117666343,839695,FALSE
,,,,,,
San Francisco/2019/NBA,11,6,5,178505659,878826,FALSE
,,,,,,
San Francisco/2016/NBA,11,6,5,147660656,871343,FALSE
,,,,,,
San Francisco/2018/NBA,11,6,5,168714493,879676,TRUE
,,,,,,
San Francisco/2017/NBA,11,6,5,159658493,877471,TRUE
,,,,,,
San Francisco/2015/NBA,11,6,5,136344642,863237,TRUE
,,,,,,
San Francisco/2014/MLB,11,6,5,126869443,850918,TRUE
,,,,,,
San Francisco/2012/MLB,11,6,5,112935708,828963,TRUE
,,,,,,
San Francisco/2010/MLB,11,6,5,96688655,775096,TRUE
,,,,,,
San Francisco/2002/MLB,11,6,5,87572070,766862,FALSE
,,,,,,
San Jose/2016/NHL,3,2,1,263792340,1928144,FALSE
,,,,,,
San Jose/2003/MLS,3,2,1,117161316,1673249,TRUE
,,,,,,
San Jose/2001/MLS,3,2,1,115748187,1691870,TRUE
,,,,,,
Oakland/2003/NFL,1,0,1,86554424,1455088,FALSE
,,,,,,
Denver/2016/NFL,5,3,2,64967855,696273,TRUE
,,,,,,
Denver/2014/NFL,5,3,2,60109209,664540,FALSE
,,,,,,
Denver/2010/MLS,5,3,2,52645660,625532,TRUE
,,,,,,
Denver/2007/MLB,5,3,2,55935372,581784,FALSE
,,,,,,
Denver/2001/NHL,5,3,2,56199083,565114,TRUE
,,,,,,
Miami/2020/NBA,8,4,4,149301921.7,2710533,FALSE
,,,,,,
Miami/2014/NBA,8,4,4,127701649,2634056,FALSE
,,,,,,
Miami/2011/NBA,8,4,4,118677580,2544511,FALSE
,,,,,,
Miami/2013/NBA,8,4,4,123113842,2609570,TRUE
,,,,,,
Miami/2012/NBA,8,4,4,118261534,2576473,TRUE
,,,,,,
Miami/2006/NBA,8,4,4,126037212,2371106,TRUE
,,,,,,
Miami/2002/CF,8,4,4,108967798,2304852,FALSE
,,,,,,
Miami/2001/CF,8,4,4,105879202,2281710,TRUE
,,,,,,
Orlando/2009/NBA,1,0,1,66662156,4898373,FALSE
,,,,,,
Tallahassee/2013/CF,2,1,1,12729348,298625,TRUE
,,,,,,
Tallahassee/2000/CF,2,1,1,12141359.5,255839,FALSE
,,,,,,
Atlanta/2018/MLS,2,1,1,156828058,1235168,TRUE
,,,,,,
Atlanta/2017/NFL,2,1,1,149666070,1223973,FALSE
,,,,,,
Athens/2017/CF,1,0,1,7029211,190418,FALSE
,,,,,,
Chicago/2016/MLB,6,5,1,353293447,5290754,TRUE
,,,,,,
Chicago/2005/MLB,6,5,1,338663446,5332222,TRUE
,,,,,,
Chicago/2015/NHL,6,5,1,352890055,5310360,TRUE
,,,,,,
Chicago/2013/NHL,6,5,1,336312659,5318816,TRUE
,,,,,,
Chicago/2010/NHL,6,5,1,321574747,5364972,TRUE
,,,,,,
Chicago/2007/NFL,6,5,1,340489705,5298548,FALSE
,,,,,,
Chicago/2003/MLS,6,5,1,323688497,5397294,FALSE
,,,,,,
Chicago/2000/MLS,6,5,1,326447504.2,5440084,FALSE
,,,,,,
Indianapolis/2010/NFL,2,1,1,83900159,1927502,FALSE
,,,,,,
Indianapolis/2007/NFL,2,1,1,80124298,1895864,TRUE
,,,,,,
New Orleans/2010/NFL,1,1,0,27940922,362595,TRUE
,,,,,,
Baton Rouge/2019/CF,4,3,1,36124993,441471,TRUE
,,,,,,
Baton Rouge/2007/CF,4,3,1,29951180,431878,TRUE
,,,,,,
Baton Rouge/2003/CF,4,3,1,26631398,412403,TRUE
,,,,,,
Baton Rouge/2011/CF,4,3,1,33146389,441627,FALSE
,,,,,,
Boston/2019/NFL,18,12,6,114696871,2376517,TRUE
,,,,,,
Boston/2017/NFL,18,12,6,109294494,2375359,TRUE
,,,,,,
Boston/2015/NFL,18,12,6,101802535,2363364,TRUE
,,,,,,
Boston/2005/NFL,18,12,6,91101126,2216540,TRUE
,,,,,,
Boston/2004/NFL,18,12,6,88051123,2224676,TRUE
,,,,,,
Boston/2002/NFL,18,12,6,85875485,2216972,TRUE
,,,,,,
Boston/2019/NHL,18,12,6,114696871,2376517,FALSE
,,,,,,
Boston/2013/NHL,18,12,6,95490929,2346084,FALSE
,,,,,,
Boston/2018/NFL,18,12,6,113397072,2377433,FALSE
,,,,,,
Boston/2012/NFL,18,12,6,96330303,2333708,FALSE
,,,,,,
Boston/2008/NFL,18,12,6,85560148,2222424,FALSE
,,,,,,
Boston/2018/MLB,18,12,6,113397072,2377433,TRUE
,,,,,,
Boston/2013/MLB,18,12,6,95490929,2346084,TRUE
,,,,,,
Boston/2007/MLB,18,12,6,87611572,2213280,TRUE
,,,,,,
Boston/2004/MLB,18,12,6,88051123,2224676,TRUE
,,,,,,
Boston/2014/MLS,18,12,6,96637902,2356642,FALSE
,,,,,,
Boston/2007/MLS,18,12,6,87611572,2213280,FALSE
,,,,,,
Boston/2006/MLS,18,12,6,87516116,2211863,FALSE
,,,,,,
Boston/2005/MLS,18,12,6,91101126,2216540,FALSE
,,,,,,
Boston/2002/MLS,18,12,6,85875485,2216972,FALSE
,,,,,,
Boston/2011/NHL,18,12,6,91696467,2321003,TRUE
,,,,,,
Boston/2010/NBA,18,12,6,90260476,2246183,FALSE
,,,,,,
Boston/2008/NBA,18,12,6,85560148,2222424,TRUE
,,,,,,
Baltimore/2013/NFL,2,2,0,None,None,TRUE
,,,,,,
Baltimore/2001/NFL,2,2,0,None,None,TRUE
,,,,,,
Detroit/2012/MLB,7,3,4,82938171,2449342,FALSE
,,,,,,
Detroit/2006/MLB,7,3,4,91465734,2600257,FALSE
,,,,,,
Detroit/2009/NHL,7,3,4,74922059,2516023,FALSE
,,,,,,
Detroit/2008/NHL,7,3,4,84809838,2540485,TRUE
,,,,,,
Detroit/2002/NHL,7,3,4,89073982,2671605,TRUE
,,,,,,
Detroit/2005/NBA,7,3,4,92363394,2622968,FALSE
,,,,,,
Detroit/2004/NBA,7,3,4,91165220,2641856,TRUE
,,,,,,
St Louis/2019/NHL,7,4,3,72235760,1495566,TRUE
,,,,,,
St Louis/2013/MLB,7,4,3,68058446,1519873,FALSE
,,,,,,
St Louis/2004/MLB,7,4,3,66203443,1533132,FALSE
,,,,,,
St Louis/2011/MLB,7,4,3,67433307,1520001,TRUE
,,,,,,
St Louis/2006/MLB,7,4,3,66376410,1512550,TRUE
,,,,,,
St Louis/2002/NFL,7,4,3,64536941,1550911,FALSE
,,,,,,
St Louis/2000/NFL,7,4,3,64104045,1563773,TRUE
,,,,,,
Kansas City/2020/NFL,5,4,1,59336051.15,2960784,TRUE
,,,,,,
Kansas City/2015/MLB,5,4,1,55975334,2860364,TRUE
,,,,,,
Kansas City/2014/MLB,5,4,1,54429697,2840037,FALSE
,,,,,,
Kansas City/2013/MLS,5,4,1,53596025,2824775,TRUE
,,,,,,
Kansas City/2000/MLS,5,4,1,51667369.85,2522922,TRUE
,,,,,,
Kansas City/2004/MLS,5,4,1,52845447,2616296,FALSE
,,,,,,
Charlotte/2016/NFL,2,0,2,91539788,1088871,FALSE
,,,,,,
Charlotte/2004/NFL,2,0,2,65636523,809442,FALSE
,,,,,,
Las Vegas/2018/NHL,1,0,1,107500238,3154482,FALSE
,,,,,,
New York City/2015/MLB,16,6,10,797036410,28752318,FALSE
,,,,,,
New York City/2003/MLB,16,6,10,601407000,27703319,FALSE
,,,,,,
New York City/2001/MLB,16,6,10,625995340,27686032,FALSE
,,,,,,
New York City/2000/MLB,16,6,10,638875293,27599619,FALSE
,,,,,,
New York City/2014/NHL,16,6,10,779408301,28715058,FALSE
,,,,,,
New York City/2012/NHL,16,6,10,752169509,28545379,FALSE
,,,,,,
New York City/2001/NHL,16,6,10,625995340,27686032,FALSE
,,,,,,
New York City/2012/NFL,16,6,10,752169509,28545379,TRUE
,,,,,,
New York City/2008/NFL,16,6,10,632329780,27517230,TRUE
,,,,,,
New York City/2009/MLB,16,6,10,671388080,27621776,TRUE
,,,,,,
New York City/2000/MLB,16,6,10,638875293,27599619,TRUE
,,,,,,
