Team,Finals Appearances,Finals Wins,Finals Losses,GDP,Population,Champion Status
Tuscaloosa/2020/CF,8,6,2,9982761.25,210736.0,True
Tuscaloosa/2017/CF,8,6,2,9495727.0,207849.0,True
Tuscaloosa/2015/CF,8,6,2,8970652.0,204953.0,True
Tuscaloosa/2012/CF,8,6,2,9256781.0,198884.0,True
Tuscaloosa/2011/CF,8,6,2,9673797.0,196788.0,True
Tuscaloosa/2009/CF,8,6,2,8492527.0,184953.0,True
Tuscaloosa/2018/CF,8,6,2,9774300.0,208607.0,False
Tuscaloosa/2016/CF,8,6,2,9116249.0,206737.0,False
Los Angeles/2020/MLB,19,14,5,714493703.45,9968969.0,True
Los Angeles/2020/NBA,19,14,5,714493703.45,9968969.0,True
Los Angeles/2010/NBA,19,14,5,574263725.0,9917885.0,True
Los Angeles/2009/NBA,19,14,5,562487797.0,9881323.0,True
Los Angeles/2002/NBA,19,14,5,490762578.0,9734137.0,True
Los Angeles/2001/NBA,19,14,5,477951350.0,9642296.0,True
Los Angeles/2000/NBA,19,14,5,490400947.55,9542100.0,True
Los Angeles/2019/NFL,19,14,5,726943301.0,10011602.0,False
Los Angeles/2018/MLB,19,14,5,708846321.0,10061533.0,False
Los Angeles/2017/MLB,19,14,5,697593991.0,10092365.0,False
Los Angeles/2014/NHL,19,14,5,628691886.0,10033449.0,True
Los Angeles/2012/NHL,19,14,5,592432839.0,9931394.0,True
Los Angeles/2014/MLS,19,14,5,628691886.0,10033449.0,True
Los Angeles/2012/MLS,19,14,5,592432839.0,9931394.0,True
Los Angeles/2011/MLS,19,14,5,586247485.0,9873700.0,True
Los Angeles/2005/MLS,19,14,5,548417062.0,9846755.0,True
Los Angeles/2002/MLS,19,14,5,490762578.0,9734137.0,True
Los Angeles/2009/MLS,19,14,5,562487797.0,9881323.0,False
Los Angeles/2001/MLS,19,14,5,477951350.0,9642296.0,False
Los Angeles/2008/NBA,19,14,5,589103804.0,9820942.0,False
Los Angeles/2004/NBA,19,14,5,531883740.0,9843680.0,False
San Francisco/2020/NFL,11,6,5,174177143.05,870561.0,False
San Francisco/2013/NFL,11,6,5,117666343.0,839695.0,False
San Francisco/2019/NBA,11,6,5,178505659.0,878826.0,False
San Francisco/2016/NBA,11,6,5,147660656.0,871343.0,False
San Francisco/2018/NBA,11,6,5,168714493.0,879676.0,True
San Francisco/2017/NBA,11,6,5,159658493.0,877471.0,True
San Francisco/2015/NBA,11,6,5,136344642.0,863237.0,True
San Francisco/2014/MLB,11,6,5,126869443.0,850918.0,True
San Francisco/2012/MLB,11,6,5,112935708.0,828963.0,True
San Francisco/2010/MLB,11,6,5,96688655.0,775096.0,True
San Francisco/2002/MLB,11,6,5,87572070.0,766862.0,False
San Jose/2016/NHL,3,2,1,263792340.0,1928144.0,False
San Jose/2003/MLS,3,2,1,117161316.0,1673249.0,True
San Jose/2001/MLS,3,2,1,115748187.0,1691870.0,True
Oakland/2003/NFL,1,0,1,86554424.0,1455088.0,False
Denver/2016/NFL,5,3,2,64967855.0,696273.0,True
Denver/2014/NFL,5,3,2,60109209.0,664540.0,False
Denver/2010/MLS,5,3,2,52645660.0,625532.0,True
Denver/2007/MLB,5,3,2,55935372.0,581784.0,False
Denver/2001/NHL,5,3,2,56199083.0,565114.0,True
Miami/2020/NBA,8,4,4,149301921.7,2710533.0,False
Miami/2014/NBA,8,4,4,127701649.0,2634056.0,False
Miami/2011/NBA,8,4,4,118677580.0,2544511.0,False
Miami/2013/NBA,8,4,4,123113842.0,2609570.0,True
Miami/2012/NBA,8,4,4,118261534.0,2576473.0,True
Miami/2006/NBA,8,4,4,126037212.0,2371106.0,True
Miami/2002/CF,8,4,4,108967798.0,2304852.0,False
Miami/2001/CF,8,4,4,105879202.0,2281710.0,True
Orlando/2009/NBA,1,0,1,66662156.0,4898373.0,False
Tallahassee/2013/CF,2,1,1,12729348.0,298625.0,True
Tallahassee/2000/CF,2,1,1,12141359.5,255839.0,False
Atlanta/2018/MLS,2,1,1,156828058.0,1235168.0,True
Atlanta/2017/NFL,2,1,1,149666070.0,1223973.0,False
Athens/2017/CF,1,0,1,7029211.0,190418.0,False
Chicago/2016/MLB,6,5,1,353293447.0,5290754.0,True
Chicago/2005/MLB,6,5,1,338663446.0,5332222.0,True
Chicago/2015/NHL,6,5,1,352890055.0,5310360.0,True
Chicago/2013/NHL,6,5,1,336312659.0,5318816.0,True
Chicago/2010/NHL,6,5,1,321574747.0,5364972.0,True
Chicago/2007/NFL,6,5,1,340489705.0,5298548.0,False
Chicago/2003/MLS,6,5,1,323688497.0,5397294.0,False
Chicago/2000/MLS,6,5,1,326447504.2,5440084.0,False
Indianapolis/2010/NFL,2,1,1,83900159.0,1927502.0,False
Indianapolis/2007/NFL,2,1,1,80124298.0,1895864.0,True
New Orleans/2010/NFL,1,1,0,27940922.0,362595.0,True
Baton Rouge/2019/CF,4,3,1,36124993.0,441471.0,True
Baton Rouge/2007/CF,4,3,1,29951180.0,431878.0,True
Baton Rouge/2003/CF,4,3,1,26631398.0,412403.0,True
Baton Rouge/2011/CF,4,3,1,33146389.0,441627.0,False
Boston/2019/NFL,18,12,6,114696871.0,2376517.0,True
Boston/2017/NFL,18,12,6,109294494.0,2375359.0,True
Boston/2015/NFL,18,12,6,101802535.0,2363364.0,True
Boston/2005/NFL,18,12,6,91101126.0,2216540.0,True
Boston/2004/NFL,18,12,6,88051123.0,2224676.0,True
Boston/2002/NFL,18,12,6,85875485.0,2216972.0,True
Boston/2019/NHL,18,12,6,114696871.0,2376517.0,False
Boston/2013/NHL,18,12,6,95490929.0,2346084.0,False
Boston/2018/NFL,18,12,6,113397072.0,2377433.0,False
Boston/2012/NFL,18,12,6,96330303.0,2333708.0,False
Boston/2008/NFL,18,12,6,85560148.0,2222424.0,False
Boston/2018/MLB,18,12,6,113397072.0,2377433.0,True
Boston/2013/MLB,18,12,6,95490929.0,2346084.0,True
Boston/2007/MLB,18,12,6,87611572.0,2213280.0,True
Boston/2004/MLB,18,12,6,88051123.0,2224676.0,True
Boston/2014/MLS,18,12,6,96637902.0,2356642.0,False
Boston/2007/MLS,18,12,6,87611572.0,2213280.0,False
Boston/2006/MLS,18,12,6,87516116.0,2211863.0,False
Boston/2005/MLS,18,12,6,91101126.0,2216540.0,False
Boston/2002/MLS,18,12,6,85875485.0,2216972.0,False
Boston/2011/NHL,18,12,6,91696467.0,2321003.0,True
Boston/2010/NBA,18,12,6,90260476.0,2246183.0,False
Boston/2008/NBA,18,12,6,85560148.0,2222424.0,True
Baltimore/2013/NFL,2,2,0,None,None,True
Baltimore/2001/NFL,2,2,0,None,None,True
Detroit/2012/MLB,7,3,4,82938171.0,2449342.0,False
Detroit/2006/MLB,7,3,4,91465734.0,2600257.0,False
Detroit/2009/NHL,7,3,4,74922059.0,2516023.0,False
Detroit/2008/NHL,7,3,4,84809838.0,2540485.0,True
Detroit/2002/NHL,7,3,4,89073982.0,2671605.0,True
Detroit/2005/NBA,7,3,4,92363394.0,2622968.0,False
Detroit/2004/NBA,7,3,4,91165220.0,2641856.0,True
St Louis/2019/NHL,7,4,3,72235760.0,1495566.0,True
St Louis/2013/MLB,7,4,3,68058446.0,1519873.0,False
St Louis/2004/MLB,7,4,3,66203443.0,1533132.0,False
St Louis/2011/MLB,7,4,3,67433307.0,1520001.0,True
St Louis/2006/MLB,7,4,3,66376410.0,1512550.0,True
St Louis/2002/NFL,7,4,3,64536941.0,1550911.0,False
St Louis/2000/NFL,7,4,3,64104045.0,1563773.0,True
Kansas City/2020/NFL,5,4,1,59336051.15,2960784.0,True
Kansas City/2015/MLB,5,4,1,55975334.0,2860364.0,True
