Finalist ID,City,GDP,City Population,Year,Sport,Champion Status
,,,,,,
0,Tuscaloosa,9982761.25,210736,2020,CF,TRUE
,,,,,,
1,Tuscaloosa,9495727,207849,2017,CF,TRUE
,,,,,,
2,Tuscaloosa,8970652,204953,2015,CF,TRUE
,,,,,,
3,Tuscaloosa,9256781,198884,2012,CF,TRUE
,,,,,,
4,Tuscaloosa,9673797,196788,2011,CF,TRUE
,,,,,,
5,Tuscaloosa,8492527,184953,2009,CF,TRUE
,,,,,,
6,Tuscaloosa,9774300,208607,2018,CF,FALSE
,,,,,,
7,Tuscaloosa,9116249,206737,2016,CF,FALSE
,,,,,,
8,Los Angeles,714493703.5,9968969,2020,MLB,TRUE
,,,,,,
9,Los Angeles,714493703.5,9968969,2020,NBA,TRUE
,,,,,,
10,Los Angeles,574263725,9917885,2010,NBA,TRUE
,,,,,,
11,Los Angeles,562487797,9881323,2009,NBA,TRUE
,,,,,,
12,Los Angeles,490762578,9734137,2002,NBA,TRUE
,,,,,,
13,Los Angeles,477951350,9642296,2001,NBA,TRUE
,,,,,,
14,Los Angeles,490400947.6,9542100,2000,NBA,TRUE
,,,,,,
15,Los Angeles,726943301,10011602,2019,NFL,FALSE
,,,,,,
16,Los Angeles,708846321,10061533,2018,MLB,FALSE
,,,,,,
17,Los Angeles,697593991,10092365,2017,MLB,FALSE
,,,,,,
18,Los Angeles,628691886,10033449,2014,NHL,TRUE
,,,,,,
19,Los Angeles,592432839,9931394,2012,NHL,TRUE
,,,,,,
20,Los Angeles,628691886,10033449,2014,MLS,TRUE
,,,,,,
21,Los Angeles,592432839,9931394,2012,MLS,TRUE
,,,,,,
22,Los Angeles,586247485,9873700,2011,MLS,TRUE
,,,,,,
23,Los Angeles,548417062,9846755,2005,MLS,TRUE
,,,,,,
24,Los Angeles,490762578,9734137,2002,MLS,TRUE
,,,,,,
25,Los Angeles,562487797,9881323,2009,MLS,FALSE
,,,,,,
26,Los Angeles,477951350,9642296,2001,MLS,FALSE
,,,,,,
27,Los Angeles,589103804,9820942,2008,NBA,FALSE
,,,,,,
28,Los Angeles,531883740,9843680,2004,NBA,FALSE
,,,,,,
29,San Francisco,174177143.1,870561,2020,NFL,FALSE
,,,,,,
30,San Francisco,117666343,839695,2013,NFL,FALSE
,,,,,,
31,San Francisco,178505659,878826,2019,NBA,FALSE
,,,,,,
32,San Francisco,147660656,871343,2016,NBA,FALSE
,,,,,,
33,San Francisco,168714493,879676,2018,NBA,TRUE
,,,,,,
34,San Francisco,159658493,877471,2017,NBA,TRUE
,,,,,,
35,San Francisco,136344642,863237,2015,NBA,TRUE
,,,,,,
36,San Francisco,126869443,850918,2014,MLB,TRUE
,,,,,,
37,San Francisco,112935708,828963,2012,MLB,TRUE
,,,,,,
38,San Francisco,96688655,775096,2010,MLB,TRUE
,,,,,,
39,San Francisco,87572070,766862,2002,MLB,FALSE
,,,,,,
40,San Jose,263792340,1928144,2016,NHL,FALSE
,,,,,,
41,San Jose,117161316,1673249,2003,MLS,TRUE
,,,,,,
42,San Jose,115748187,1691870,2001,MLS,TRUE
,,,,,,
43,Oakland,86554424,1455088,2003,NFL,FALSE
,,,,,,
44,Denver,64967855,696273,2016,NFL,TRUE
,,,,,,
45,Denver,60109209,664540,2014,NFL,FALSE
,,,,,,
46,Denver,52645660,625532,2010,MLS,TRUE
,,,,,,
47,Denver,55935372,581784,2007,MLB,FALSE
,,,,,,
48,Denver,56199083,565114,2001,NHL,TRUE
,,,,,,
49,Miami,149301921.7,2710533,2020,NBA,FALSE
,,,,,,
50,Miami,127701649,2634056,2014,NBA,FALSE
,,,,,,
51,Miami,118677580,2544511,2011,NBA,FALSE
,,,,,,
52,Miami,123113842,2609570,2013,NBA,TRUE
,,,,,,
53,Miami,118261534,2576473,2012,NBA,TRUE
,,,,,,
54,Miami,126037212,2371106,2006,NBA,TRUE
,,,,,,
55,Miami,108967798,2304852,2002,CF,FALSE
,,,,,,
56,Miami,105879202,2281710,2001,CF,TRUE
,,,,,,
57,Orlando,66662156,4898373,2009,NBA,FALSE
,,,,,,
58,Tallahassee,12729348,298625,2013,CF,TRUE
,,,,,,
59,Tallahassee,12141359.5,255839,2000,CF,FALSE
,,,,,,
60,Atlanta,156828058,1235168,2018,MLS,TRUE
,,,,,,
61,Atlanta,149666070,1223973,2017,NFL,FALSE
,,,,,,
62,Athens,7029211,190418,2017,CF,FALSE
,,,,,,
63,Chicago,353293447,5290754,2016,MLB,TRUE
,,,,,,
64,Chicago,338663446,5332222,2005,MLB,TRUE
,,,,,,
65,Chicago,352890055,5310360,2015,NHL,TRUE
,,,,,,
66,Chicago,336312659,5318816,2013,NHL,TRUE
,,,,,,
67,Chicago,321574747,5364972,2010,NHL,TRUE
,,,,,,
68,Chicago,340489705,5298548,2007,NFL,FALSE
,,,,,,
69,Chicago,323688497,5397294,2003,MLS,FALSE
,,,,,,
70,Chicago,326447504.2,5440084,2000,MLS,FALSE
,,,,,,
71,Indianapolis,83900159,1927502,2010,NFL,FALSE
,,,,,,
72,Indianapolis,80124298,1895864,2007,NFL,TRUE
,,,,,,
73,New Orleans,27940922,362595,2010,NFL,TRUE
,,,,,,
74,Baton Rouge,36124993,441471,2019,CF,TRUE
,,,,,,
75,Baton Rouge,29951180,431878,2007,CF,TRUE
,,,,,,
76,Baton Rouge,26631398,412403,2003,CF,TRUE
,,,,,,
77,Baton Rouge,33146389,441627,2011,CF,FALSE
,,,,,,
78,Boston,114696871,2376517,2019,NFL,TRUE
,,,,,,
79,Boston,109294494,2375359,2017,NFL,TRUE
,,,,,,
80,Boston,101802535,2363364,2015,NFL,TRUE
,,,,,,
81,Boston,91101126,2216540,2005,NFL,TRUE
,,,,,,
82,Boston,88051123,2224676,2004,NFL,TRUE
,,,,,,
83,Boston,85875485,2216972,2002,NFL,TRUE
,,,,,,
84,Boston,114696871,2376517,2019,NHL,FALSE
,,,,,,
85,Boston,95490929,2346084,2013,NHL,FALSE
,,,,,,
86,Boston,113397072,2377433,2018,NFL,FALSE
,,,,,,
